NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250707;5.4;1;14.9;1;838;9;20.7;1;1444;9;16.7;1;17.8;1;5.8;1;14.4;9;14.2;9;0;9;3.6;1;;;7.2;1;350;1;1514;9;13.8;1;10;1;1514;9;;;;;;;12.8;1;10;1;1514;9;188;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250708;2.0;1;14.0;1;448;9;23.1;1;1655;9;18.0;1;18.6;1;9.1;1;11.6;9;12.8;9;0;9;3.0;1;;;5.4;1;340;1;1230;9;12.2;1;340;1;1222;9;;;;;;;10.8;1;340;1;1222;9;20;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250709;0.0;1;12.6;1;413;9;26.4;1;1520;9;20.2;1;19.5;1;13.8;1;9.5;9;12.0;9;0;9;1.9;1;;;3.9;1;40;9;2219;9;8.0;1;40;9;2252;9;;;;;;;7.3;1;40;1;2252;9;42;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250710;0.0;1;15.8;1;253;9;28.9;1;1419;9;23.1;1;22.4;1;13.1;1;12.5;9;14.5;9;0;9;2.7;1;;;5.1;1;30;9;2007;9;10.3;1;40;9;2143;9;;;;;;;9.2;1;40;1;2143;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250711;0.0;1;18.3;1;427;9;29.9;1;1526;9;24.5;1;24.1;1;11.6;1;15.9;9;17.2;9;0;9;3.0;1;;;5.3;1;40;1;1606;9;11.5;1;40;1;1851;9;;;;;;;10.0;1;40;1;1852;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250712;0.0;1;18.7;1;354;9;29.3;1;1555;9;24.3;1;24.0;1;10.6;1;15.7;9;17.8;9;0;9;2.5;1;;;4.8;1;40;1;1427;9;8.7;1;40;1;1417;9;;;;;;;7.7;1;40;1;1418;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250713;0.0;1;17.8;1;445;9;31.6;1;1717;9;25.3;1;24.7;1;13.8;1;14.9;9;16.8;9;0;9;2.0;1;;;5.8;1;270;9;2116;9;13.7;1;270;9;2113;9;;;;;;;12.5;1;270;1;2159;9;14;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250714;0.2;1;20.4;1;437;9;28.0;1;1618;9;23.0;1;24.2;1;7.6;1;19.0;9;19.7;9;0;9;3.1;1;;;6.9;1;340;9;1912;9;13.9;1;330;9;1921;9;;;;;;;12.9;1;330;1;1921;9;11;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250715;0.0;1;17.7;1;412;9;25.0;1;1359;9;21.4;1;21.4;1;7.3;1;15.3;9;16.9;9;0;9;3.0;1;;;6.2;1;270;1;1439;9;14.0;1;230;1;1404;9;;;;;;;12.0;1;230;1;1410;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250716;0.6;1;19.1;1;236;9;22.5;1;1225;9;20.3;1;20.8;1;3.4;1;17.9;9;18.5;9;0;9;3.7;1;;;6.2;1;260;1;1229;9;13.5;1;270;1;1621;9;;;;;;;12.7;1;270;1;1621;9;90;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250717;0.2;1;17.1;1;308;9;28.3;1;1739;9;21.9;1;22.7;1;11.2;1;14.0;9;15.6;9;0;9;1.2;1;;;2.9;1;190;1;954;9;6.1;1;220;1;1025;9;;;;;;;5.3;1;220;1;1025;9;24;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250718;0.0;1;20.1;1;242;9;32.1;1;1453;9;26.1;1;26.1;1;12.0;1;17.5;9;18.9;9;0;9;2.2;1;;;4.7;1;170;1;1142;9;8.4;1;160;1;1139;9;;;;;;;7.3;1;160;1;1138;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250719;3.8;1;21.1;1;1106;9;27.3;1;1736;9;23.0;1;24.2;1;6.2;1;19.6;9;19.9;9;0;9;3.2;1;;;6.6;1;200;1;1953;9;15.8;1;230;1;1946;9;;;;;;;14.2;1;230;1;1946;9;110;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250720;8.3;1;16.7;1;916;9;24.6;1;1623;9;19.9;1;20.7;1;7.9;1;15.8;9;15.7;9;0;9;3.3;1;;;6.7;1;230;1;1745;9;14.3;1;240;1;1738;9;;;;;;;12.6;1;240;1;1738;9;230;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250721;24.0;1;16.8;1;328;9;22.5;1;1537;9;18.8;1;19.7;1;5.7;1;15.3;9;15.4;9;0;9;3.8;1;;;6.4;1;230;1;909;9;14.9;1;220;1;905;9;;;;;;;12.4;1;220;1;910;9;287;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250722;0.2;1;17.0;1;16;9;22.6;1;1449;9;19.5;1;19.8;1;5.6;1;15.9;9;16.5;9;0;9;3.0;1;;;6.1;1;250;1;1327;9;11.5;1;270;1;343;9;;;;;;;10.1;1;270;1;343;9;33;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250723;17.3;1;17.4;1;452;9;23.5;1;1054;9;19.3;1;20.5;1;6.1;1;15.8;9;15.8;9;0;9;2.1;1;;;4.8;1;350;1;1453;9;8.8;1;340;1;1436;9;;;;;;;7.9;1;340;1;1436;9;297;9;0;1
