year,CO2_ppm,Temp_Anomaly_C,CO2_Growth,Temp_5yr_MA
1958,315.23699999999997,0.0617,,
1958,315.23699999999997,-0.0176,0.0,
1959,315.9816666666666,0.0308,0.7446666666666601,
1959,315.9816666666666,-0.048,0.0,
1960,316.90833333333336,-0.025,0.9266666666667334,0.0003799999999999984
1960,316.90833333333336,-0.1155,0.0,-0.03506
1961,317.6433333333334,0.0575,0.7350000000000136,-0.020040000000000002
1961,317.6433333333334,-0.02,0.0,-0.030199999999999998
1962,318.4533333333333,0.0308,0.8099999999999454,-0.014440000000000003
1962,318.4533333333333,-0.064,0.0,-0.022240000000000003
1963,318.9925,0.0542,0.5391666666666879,0.011699999999999997
1963,318.9925,-0.0368,0.0,-0.007160000000000004
1964,319.62,-0.1992,0.6274999999999977,-0.043
1964,319.62,-0.3059,0.0,-0.11034
1965,320.0366666666667,-0.1067,0.4166666666666856,-0.11888000000000001
1965,320.0366666666667,-0.2044,0.0,-0.1706
1966,321.3675,-0.0575,1.3308333333333167,-0.17474
1966,321.3675,-0.1489,0.0,-0.16468
1967,322.1791666666667,-0.0242,0.8116666666666674,-0.10833999999999999
1967,322.1791666666667,-0.1175,0.0,-0.1105
1968,323.05,-0.0842,0.8708333333333371,-0.08646000000000001
1968,323.05,-0.1686,0.0,-0.10868
1969,324.62083333333334,0.0517,1.5708333333333258,-0.06855999999999998
1969,324.62083333333334,-0.0314,0.0,-0.07
1970,325.6816666666667,0.0258,1.0608333333333348,-0.04134
1970,325.6816666666667,-0.0851,0.0,-0.04152
1971,326.32,-0.0808,0.6383333333333212,-0.02396
1971,326.32,-0.2059,0.0,-0.07547999999999999
1972,327.45666666666665,0.0083,1.136666666666656,-0.06754
1972,327.45666666666665,-0.0938,0.0,-0.09146
1973,329.6816666666667,0.16,2.2250000000000227,-0.04243999999999999
1973,329.6816666666667,0.05,0.0,-0.016279999999999996
1974,330.1933333333333,-0.0708,0.5116666666666561,0.010740000000000003
1974,330.1933333333333,-0.1725,0.0,-0.025419999999999998
1975,331.12666666666667,-0.0133,0.9333333333333371,-0.009319999999999998
1975,331.12666666666667,-0.1108,0.0,-0.06348000000000001
1976,332.0258333333333,-0.0992,0.8991666666666447,-0.09332
1976,332.0258333333333,-0.2158,0.0,-0.12232000000000001
1977,333.8441666666667,0.1775,1.8183333333333849,-0.05232000000000001
1977,333.8441666666667,0.1031,0.0,-0.029040000000000003
1978,335.415,0.0683,1.5708333333333258,0.006779999999999992
1978,335.415,0.0053,0.0,0.02767999999999999
1979,336.835,0.1658,1.419999999999959,0.10400000000000001
1979,336.835,0.0909,0.0,0.08668
1980,338.7625,0.2558,1.927500000000009,0.11721999999999999
1980,338.7625,0.1961,0.0,0.14278
1981,340.12,0.3225,1.357500000000016,0.20622
1981,340.12,0.25,0.0,0.22305999999999998
1982,341.4783333333333,0.1367,1.3583333333332916,0.23222
1982,341.4783333333333,0.0343,0.0,0.18792
1983,343.15333333333336,0.3117,1.6750000000000682,0.21103999999999998
1983,343.15333333333336,0.2238,0.0,0.19129999999999997
1984,344.8675,0.155,1.7141666666666424,0.17229999999999998
1984,344.8675,0.048,0.0,0.15455999999999998
1985,346.3516666666667,0.1158,1.484166666666681,0.17085999999999998
1985,346.3516666666667,0.0497,0.0,0.11846000000000001
1986,347.6075,0.18,1.255833333333328,0.10969999999999999
1986,347.6075,0.0957,0.0,0.09783999999999998
1987,349.31166666666667,0.3192,1.7041666666666515,0.15208
1987,349.31166666666667,0.243,0.0,0.17751999999999998
1988,351.69,0.3858,2.3783333333333303,0.24474
1988,351.69,0.2822,0.0,0.26517999999999997
1989,353.205,0.2717,1.5149999999999864,0.30038
1989,353.205,0.1793,0.0,0.2724
1990,354.45250000000004,0.445,1.2475000000000591,0.31279999999999997
1990,354.45250000000004,0.3606,0.0,0.30776
1991,355.70416666666665,0.4033,1.2516666666666083,0.33198
1991,355.70416666666665,0.3389,0.0,0.34541999999999995
1992,356.545,0.22,0.8408333333333644,0.35356
1992,356.545,0.1249,0.0,0.28954
1993,357.215,0.23,0.6699999999999591,0.26342
1993,357.215,0.1657,0.0,0.21589999999999998
1994,358.9591666666667,0.3133,1.7441666666667288,0.21078000000000002
1994,358.9591666666667,0.2335,0.0,0.21347999999999998
1995,360.9683333333333,0.4442,2.0091666666666015,0.27734
1995,360.9683333333333,0.3769,0.0,0.30672
1996,362.74333333333334,0.3283,1.775000000000034,0.33924
1996,362.74333333333334,0.2767,0.0,0.33191999999999994
1997,363.87583333333333,0.4633,1.1324999999999932,0.37788
1997,363.87583333333333,0.4223,0.0,0.3735
1998,366.84,0.605,2.9641666666666424,0.41912000000000005
1998,366.84,0.5773,0.0,0.46892000000000006
1999,368.53999999999996,0.38,1.6999999999999886,0.48958
1999,368.53999999999996,0.3245,0.0,0.46182
2000,369.70666666666665,0.3917,1.1666666666666856,0.45570000000000005
2000,369.70666666666665,0.3311,0.0,0.40092
2001,371.31916666666666,0.5325,1.6125000000000114,0.39196
2001,371.31916666666666,0.4893,0.0,0.41382
2002,373.45250000000004,0.6267,2.1333333333333826,0.47425999999999996
2002,373.45250000000004,0.5435,0.0,0.50462
2003,375.98333333333335,0.6167,2.5308333333333053,0.56174
2003,375.98333333333335,0.5442,0.0,0.56408
2004,377.6983333333333,0.5325,1.714999999999975,0.57272
2004,377.6983333333333,0.4674,0.0,0.54086
2005,379.98333333333335,0.675,2.285000000000025,0.56716
2005,379.98333333333335,0.6069,0.0,0.5651999999999999
2006,382.09083333333336,0.6375,2.107500000000016,0.5838599999999999
2006,382.09083333333336,0.5726,0.0,0.59188
2007,384.02500000000003,0.6608,1.9341666666666697,0.63056
2007,384.02500000000003,0.5917,0.0,0.6139
2008,385.8325,0.5433,1.8074999999999477,0.60118
2008,385.8325,0.4656,0.0,0.5668
2009,387.6425,0.655,1.8100000000000023,0.58328
2009,387.6425,0.5968,0.0,0.5704800000000001
2010,390.1016666666667,0.7233,2.459166666666704,0.5968
2010,390.1016666666667,0.6804,0.0,0.62422
2011,391.85083333333336,0.6058,1.7491666666666674,0.6522600000000001
2011,391.85083333333336,0.5377,0.0,0.6287999999999999
2012,394.05583333333334,0.6433,2.204999999999984,0.6381
2012,394.05583333333334,0.5776,0.0,0.6089600000000001
2013,396.7375,0.6733,2.681666666666672,0.60754
2013,396.7375,0.6236,0.0,0.6111
2014,398.8125,0.7458,2.0749999999999886,0.6527200000000001
2014,398.8125,0.6729,0.0,0.65864
2015,401.0125,0.8975,2.1999999999999886,0.72262
2015,401.0125,0.8251,0.0,0.75298
2016,404.41249999999997,1.0133,3.3999999999999773,0.8309200000000001
2016,404.41249999999997,0.9329,0.0,0.8683399999999999
2017,406.7575,0.92,2.3450000000000273,0.91776
2017,406.7575,0.8452,0.0,0.9073
