year,co2_ppm,temp_anomaly_global,avg_temp_paris
1958,315.237,0.02205,11.137808219178083
1959,315.9816666666666,-0.0086,12.356986301369863
1960,316.90833333333336,-0.07025,11.419672131147541
1961,317.6433333333334,0.018750000000000003,12.208767123287672
1962,318.4533333333333,-0.0166,10.363013698630137
1963,318.9925,0.0087,9.965753424657533
1964,319.62,-0.25255,11.319398907103825
1965,320.0366666666667,-0.15555,10.817808219178081
1966,321.3675,-0.1032,11.634794520547945
1967,322.1791666666667,-0.07085,11.618082191780823
1968,323.05,-0.1264,10.957650273224044
1969,324.62083333333334,0.010150000000000003,11.43917808219178
1970,325.6816666666667,-0.029649999999999996,11.353424657534246
1971,326.32,-0.14335,11.497260273972604
1972,327.45666666666665,-0.042749999999999996,10.979234972677595
1973,329.6816666666667,0.10500000000000001,11.492876712328766
1974,330.1933333333333,-0.12165,11.769315068493151
1975,331.12666666666667,-0.062049999999999994,11.576438356164383
1976,332.0258333333333,-0.1575,12.339344262295082
1977,333.8441666666667,0.14029999999999998,11.59945205479452
1978,335.415,0.0368,10.898082191780823
1979,336.835,0.12835,10.891780821917807
1980,338.7625,0.22595,10.934972677595628
1981,340.12,0.28625,11.521095890410958
1982,341.4783333333333,0.08549999999999999,12.10986301369863
1983,343.15333333333336,0.26775,12.025205479452055
1984,344.8675,0.1015,11.450819672131148
1985,346.3516666666667,0.08275,10.815890410958904
1986,347.6075,0.13785,11.050958904109589
1987,349.31166666666667,0.2811,10.94
1988,351.69,0.33399999999999996,12.17704918032787
1989,353.205,0.22549999999999998,12.708493150684932
1990,354.45250000000004,0.4028,12.946849315068494
1991,355.70416666666665,0.3711,11.600273972602741
1992,356.545,0.17245,12.151912568306011
1993,357.215,0.19785,11.69041095890411
1994,358.9591666666667,0.27340000000000003,12.885205479452056
1995,360.9683333333333,0.41054999999999997,12.637808219178083
1996,362.7433333333333,0.3025,11.181693989071038
1997,363.8758333333333,0.44279999999999997,12.63013698630137
1998,366.84,0.5911500000000001,12.145479452054795
1999,368.54,0.35225,12.774794520547946
2000,369.70666666666665,0.3614,12.608196721311476
2001,371.31916666666666,0.5109,12.349863013698629
2002,373.4525,0.5851,12.821643835616438
2003,375.98333333333335,0.58045,13.053698630136987
2004,377.6983333333333,0.49995,12.305464480874317
2005,379.98333333333335,0.64095,12.684657534246574
2006,382.09083333333336,0.60505,12.738356164383562
2007,384.025,0.62625,12.732054794520547
2008,385.8325,0.5044500000000001,12.217486338797816
2009,387.6425,0.6259,12.470958904109589
2010,390.1016666666667,0.7018500000000001,11.538630136986303
2011,391.85083333333336,0.57175,13.478356164383563
2012,394.0558333333333,0.6104499999999999,12.417759562841528
2013,396.7375,0.64845,11.968767123287673
2014,398.8125,0.70935,13.338904109589041
2015,401.0125,0.8613,13.19972602739726
2016,404.4125,0.9731000000000001,12.55655737704918
2017,406.7575,0.8826,13.07068493150685
2018,408.715,0.8051,13.615616438356163
2019,411.6491666666666,0.93345,13.388219178082192
2020,414.21333333333337,0.9660500000000001,13.95928961748634
2021,416.4141666666667,0.8051,12.52027397260274
2022,418.52833333333336,0.8472999999999999,14.023561643835617
2023,421.0758333333333,1.13475,13.953698630136987
2024,424.6041666666667,1.1755,13.240710382513662
