year,co2_ppm,temp_anomaly_global,co2_growth,temp_5yr_ma,avg_temp_france
1958,315.237,0.02205,,,11.137808219178083
1959,315.9816666666666,-0.0086,0.7446666666666033,,12.356986301369863
1960,316.90833333333336,-0.07025,0.9266666666667334,,11.419672131147541
1961,317.6433333333334,0.018750000000000003,0.7350000000000136,,12.208767123287672
1962,318.4533333333333,-0.0166,0.8099999999999454,-0.01093,10.363013698630137
1963,318.9925,0.0087,0.5391666666666879,-0.013600000000000001,9.965753424657533
1964,319.62,-0.25255,0.6274999999999977,-0.06239,11.319398907103825
1965,320.0366666666667,-0.15555,0.4166666666666856,-0.07944999999999999,10.817808219178081
1966,321.3675,-0.1032,1.3308333333333167,-0.10384,11.634794520547945
1967,322.1791666666667,-0.07085,0.8116666666666674,-0.11469,11.618082191780823
1968,323.05,-0.1264,0.8708333333333371,-0.14171,10.957650273224044
1969,324.62083333333334,0.010150000000000003,1.5708333333333258,-0.08917,11.43917808219178
1970,325.6816666666667,-0.029649999999999996,1.0608333333333348,-0.06399,11.353424657534246
1971,326.32,-0.14335,0.6383333333333212,-0.07202,11.497260273972604
1972,327.45666666666665,-0.042749999999999996,1.136666666666656,-0.0664,10.979234972677595
1973,329.6816666666667,0.10500000000000001,2.2250000000000227,-0.020119999999999996,11.492876712328766
1974,330.1933333333333,-0.12165,0.5116666666666561,-0.04648,11.769315068493151
1975,331.12666666666667,-0.062049999999999994,0.9333333333333371,-0.05295999999999999,11.576438356164383
1976,332.0258333333333,-0.1575,0.8991666666666447,-0.055789999999999985,12.339344262295082
1977,333.8441666666667,0.14029999999999998,1.8183333333333849,-0.019179999999999992,11.59945205479452
1978,335.415,0.0368,1.5708333333333258,-0.032819999999999995,10.898082191780823
1979,336.835,0.12835,1.419999999999959,0.01718,10.891780821917807
1980,338.7625,0.22595,1.927500000000009,0.07478,10.934972677595628
1981,340.12,0.28625,1.357500000000016,0.16353,11.521095890410958
1982,341.4783333333333,0.08549999999999999,1.3583333333332916,0.15257,12.10986301369863
1983,343.15333333333336,0.26775,1.6750000000000682,0.19876,12.025205479452055
1984,344.8675,0.1015,1.7141666666666424,0.19339,11.450819672131148
1985,346.3516666666667,0.08275,1.484166666666681,0.16475,10.815890410958904
1986,347.6075,0.13785,1.255833333333328,0.13506999999999997,11.050958904109589
1987,349.31166666666667,0.2811,1.7041666666666515,0.17418999999999998,10.581400437636761
1988,351.69,0.33399999999999996,2.3783333333333303,0.18744,13.302980132450331
1989,353.205,0.22549999999999998,1.5149999999999864,0.21223999999999998,13.535897435897434
1990,354.45250000000004,0.4028,1.2475000000000591,0.27625,13.463424657534246
1991,355.70416666666665,0.3711,1.2516666666666083,0.32289999999999996,12.119315068493151
1992,356.545,0.17245,0.8408333333333644,0.30117,12.689207650273223
1993,357.215,0.19785,0.6699999999999591,0.27393999999999996,12.199033149171271
1994,358.9591666666667,0.27340000000000003,1.7441666666667288,0.28352000000000005,13.410532276330692
1995,360.9683333333333,0.41054999999999997,2.0091666666666015,0.28507,13.25056603773585
1996,362.7433333333333,0.3025,1.7749999999999773,0.27135,11.172743207712534
1997,363.8758333333333,0.44279999999999997,1.1324999999999932,0.32542,12.4015444015444
1998,366.84,0.5911500000000001,2.9641666666666993,0.40408,12.384965304548958
1999,368.54,0.35225,1.7000000000000455,0.41985,12.76984126984127
2000,369.70666666666665,0.3614,1.1666666666666288,0.41002,12.766692789968651
2001,371.31916666666666,0.5109,1.6125000000000114,0.45169999999999993,12.136617100371748
2002,373.4525,0.5851,2.1333333333333258,0.48016000000000003,12.522527472527473
2003,375.98333333333335,0.58045,2.530833333333362,0.47802,12.861816496756255
2004,377.6983333333333,0.49995,1.714999999999975,0.50756,12.38493013972056
2005,379.98333333333335,0.64095,2.285000000000025,0.56347,12.320707070707071
2006,382.09083333333336,0.60505,2.107500000000016,0.5822999999999999,12.11796875
2007,384.025,0.62625,1.9341666666666129,0.59053,12.678894080996885
2008,385.8325,0.5044500000000001,1.8075000000000045,0.57533,11.92224517906336
2009,387.6425,0.6259,1.8100000000000023,0.60052,12.063546798029556
2010,390.1016666666667,0.7018500000000001,2.459166666666704,0.6127,11.122902494331067
2011,391.85083333333336,0.57175,1.7491666666666674,0.60604,13.275733137829912
2012,394.0558333333333,0.6104499999999999,2.2049999999999272,0.60288,12.030958904109589
2013,396.7375,0.64845,2.681666666666729,0.63168,11.552722260509993
2014,398.8125,0.70935,2.0749999999999886,0.64837,13.196325088339222
2015,401.0125,0.8613,2.1999999999999886,0.68026,12.817217981340118
2016,404.4125,0.9731000000000001,3.400000000000034,0.7605299999999999,11.84076797385621
2017,406.7575,0.8826,2.3449999999999704,0.8149599999999999,12.528610729023383
2018,408.715,0.8051,1.9574999999999818,0.8462900000000001,13.528789659224442
2019,411.6491666666666,0.93345,2.934166666666613,0.8911100000000001,13.173505572441742
2020,414.21333333333337,0.9660500000000001,2.564166666666779,0.91206,13.689703872437358
2021,416.4141666666667,0.8051,2.200833333333321,0.8784600000000001,12.452343017806935
2022,418.52833333333336,0.8472999999999999,2.1141666666666765,0.8714000000000001,13.835283363802558
2023,421.0758333333333,1.13475,2.547499999999957,0.93733,13.762420091324202
2024,424.6041666666667,1.1755,3.5283333333333644,0.9857400000000001,13.037281910009183
